blend	source1	source2	pre_sim	suf_sim	jw_sum	wordvec_similarity
dissappointed	dissolves	fainted	0.87	0.94	1.81	0.6370192170143127
dissed	did	based	0.9	0.9	1.8	0.7181541919708252
disses	did	loses	0.9	0.9	1.8	0.7651151418685913
dissin	dib	oisin	0.9	0.9	1.8	0.6979450583457947
dissing	disna	basing	0.89	0.92	1.81	0.6793756484985352
distinto	dishes	into	0.87	1.0	1.87	0.679793655872345
ditmenin	dither	genin	0.87	0.95	1.8199999999999998	0.8449856042861938
diz	did	liz	0.9	0.91	1.81	0.6713102459907532
dkamar	dkl	simar	0.9	0.9	1.8	0.680537223815918
dkt	dks	pkt	0.9	0.91	1.81	0.6435855627059937
doain	doe	ain	0.9	1.0	1.9	0.6863076686859131
doble	dog	able	0.9	0.94	1.8399999999999999	0.669738233089447
docksiders	docs	readers	0.93	0.9	1.83	0.7821654081344604
documentos	docile	pantos	0.87	0.92	1.79	0.640485405921936
doenst	dob	const	0.9	0.9	1.8	0.6736471652984619
doggs	dog	eggs	0.9	0.94	1.8399999999999999	0.7065539956092834
dogtown	dog	town	1.0	1.0	2.0	0.7265786528587341
doinn	dom	finn	0.9	0.94	1.8399999999999999	0.6320896148681641
doint	dow	int	0.9	1.0	1.9	0.673755943775177
dokie	dol	kie	0.9	1.0	1.9	0.6567896604537964
dolares	doles	dares	0.89	0.95	1.8399999999999999	0.65486741065979
dolio	don	julio	0.9	0.9	1.8	0.724166750907898
dolla	dol	walla	0.9	0.9	1.8	0.6630727052688599
dollas	dos	las	0.9	1.0	1.9	0.7346066832542419
dollbaby	doll	baby	0.93	1.0	1.9300000000000002	0.797469437122345
domehead	domal	godhead	0.89	0.9	1.79	0.632847785949707
domician	domed	grecian	0.89	0.9	1.79	0.7051565647125244
domincan	domed	cancan	0.89	0.92	1.81	0.6960858106613159
domingo	dome	bingo	0.93	0.95	1.88	0.6966580748558044
dominicanos	domer	canos	0.89	1.0	1.8900000000000001	0.765239953994751
dominque	domage	manque	0.87	0.92	1.79	0.635906457901001
donadores	donis	ores	0.89	1.0	1.8900000000000001	0.7266897559165955
donde	doh	mende	0.9	0.9	1.8	0.7635539770126343
donell	don	ell	0.9	1.0	1.9	0.6550452709197998
donissa	donny	elissa	0.89	0.92	1.81	0.6970440149307251
donnel	doc	panel	0.9	0.9	1.8	0.6491832137107849
donnell	donna	nell	0.89	1.0	1.8900000000000001	0.719652533531189
donno	doc	dunno	0.9	0.9	1.8	0.6300408244132996
donset	doc	set	0.9	1.0	1.9	0.6673519015312195
donte	doc	dante	0.9	0.9	1.8	0.6315311193466187
dooang	doe	dang	0.9	0.94	1.8399999999999999	0.7347768545150757
doobs	doo	bobs	0.9	0.94	1.8399999999999999	0.6461620330810547
dooin	dot	join	0.9	0.94	1.8399999999999999	0.7089588046073914
dooing	doc	ing	0.9	1.0	1.9	0.6506917476654053
dookie	dol	kie	0.9	1.0	1.9	0.6567896604537964
dookies	dooly	jackies	0.89	0.9	1.79	0.7399814128875732
doont	doe	dont	0.9	0.94	1.8399999999999999	0.7584279775619507
doope	dob	ope	0.9	1.0	1.9	0.638701319694519
dopeman	dopers	sideman	0.87	0.9	1.77	0.6318044662475586
dopeness	dopers	maness	0.87	0.92	1.79	0.734531044960022
dopest	doc	best	0.9	0.94	1.8399999999999999	0.6809749007225037
dormida	dorcas	armida	0.87	0.92	1.79	0.7175370454788208
dormir	dom	mir	0.9	1.0	1.9	0.6445266008377075
dosent	doe	bent	0.9	0.94	1.8399999999999999	0.7617363929748535
dosnt	doc	wasnt	0.9	0.9	1.8	0.6394922733306885
dostana	dosser	castana	0.87	0.9	1.77	0.7109488248825073
douchey	doucet	ritchey	0.87	0.9	1.77	0.6740330457687378
douchiness	doug	ness	0.93	1.0	1.9300000000000002	0.8038705587387085
dougie	dod	gie	0.9	1.0	1.9	0.6301409602165222
downeast	down	east	0.93	1.0	1.9300000000000002	0.7427424788475037
dox	doc	box	0.9	0.91	1.81	0.6655176281929016
doy	doc	boy	0.9	0.91	1.81	0.6518994569778442
dpi	dpt	tpi	0.9	0.91	1.81	0.8226139545440674
draggin	drams	naggin	0.89	0.92	1.81	0.6384290456771851
dragonball	draft	ball	0.89	1.0	1.8900000000000001	0.7160478830337524
dragoncon	drams	ancon	0.89	0.95	1.8399999999999999	0.6735531091690063
draink	dry	ink	0.9	1.0	1.9	0.6803412437438965
dreadin	dredge	leadin	0.87	0.92	1.79	0.6591627597808838
dreamcast	dream	cast	0.89	1.0	1.8900000000000001	0.8019919395446777
dreamin	dree	lamin	0.93	0.95	1.88	0.6308293342590332
dreds	dry	beds	0.9	0.94	1.8399999999999999	0.7093514204025269
drescher	drew	cher	0.93	1.0	1.9300000000000002	0.6733955144882202
dresed	dry	used	0.9	0.94	1.8399999999999999	0.7038807272911072
dressup	drecks	tossup	0.87	0.92	1.79	0.6427215337753296
drick	dry	dick	0.9	0.94	1.8399999999999999	0.7731390595436096
driive	dry	dive	0.9	0.94	1.8399999999999999	0.6437324285507202
drinkin	drinky	punkin	0.87	0.92	1.79	0.6674054861068726
drippin	drink	poppin	0.89	0.92	1.81	0.6808022856712341
drivin	dry	givin	0.9	0.9	1.8	0.6513148546218872
drizzed	driest	whizzed	0.87	0.9	1.77	0.6307152509689331
drizzy	dry	dizzy	0.9	0.9	1.8	0.6519476175308228
drm	dry	arm	0.9	0.91	1.81	0.7595964074134827
dro	dry	fro	0.9	0.91	1.81	0.7678173184394836
droids	dry	kids	0.9	0.94	1.8399999999999999	0.6625707745552063
drope	dry	dope	0.9	0.94	1.8399999999999999	0.6413569450378418
dropkicked	drone	backed	0.89	0.92	1.81	0.6963279247283936
droppin	drover	pippin	0.87	0.92	1.79	0.6693632006645203
drucker	drury	acker	0.89	0.95	1.8399999999999999	0.7477112412452698
drunkin	druids	mankin	0.87	0.92	1.79	0.6809852123260498
drunkness	drums	ness	0.89	1.0	1.8900000000000001	0.6387125253677368
drusilla	drury	billa	0.89	0.95	1.8399999999999999	0.6335288286209106
dtink	dtd	plink	0.9	0.9	1.8	0.6307018995285034
duble	dux	bable	0.9	0.9	1.8	0.7441985607147217
duckass	duck	jackass	0.93	0.9	1.83	0.6495650410652161
duckin	dun	kin	0.9	1.0	1.9	0.7711077928543091
duece	dub	piece	0.9	0.9	1.8	0.6596353054046631
dueces	dux	ices	0.9	0.94	1.8399999999999999	0.7502101063728333
duele	dux	abele	0.9	0.9	1.8	0.8464385271072388
duerme	dux	erme	0.9	0.94	1.8399999999999999	0.711936891078949
duffin	dux	elfin	0.9	0.9	1.8	0.774101972579956
duh	dud	auh	0.9	0.91	1.81	0.827167809009552
duhon	dun	hon	0.9	1.0	1.9	0.7124125957489014
dukies	dux	gies	0.9	0.94	1.8399999999999999	0.728405237197876
dumbasses	dumb	asses	0.93	0.95	1.88	0.8272078037261963
dumbin	dub	cabin	0.9	0.9	1.8	0.7462165355682373
dumboss	dumb	boss	0.93	1.0	1.9300000000000002	0.7054465413093567
dumbshit	dumb	shit	0.93	1.0	1.9300000000000002	0.9234832525253296
dumont	dur	ont	0.9	1.0	1.9	0.6528525352478027
dumplins	dumas	lins	0.89	1.0	1.8900000000000001	0.7516770362854004
dunia	dux	bania	0.9	0.9	1.8	0.6681759357452393
dunkin	dun	kin	0.9	1.0	1.9	0.7711077928543091
dupette	dupes	cadette	0.89	0.9	1.79	0.7273942232131958
durags	due	flags	0.9	0.9	1.8	0.6394728422164917
durella	dura	ella	0.93	1.0	1.9300000000000002	0.6571549773216248
durin	dun	rin	0.9	1.0	1.9	0.7772541046142578
durmientes	dura	antes	0.93	0.95	1.88	0.7418436408042908
dustheads	dust	beads	0.93	0.95	1.88	0.7289581298828125
dutches	dutch	coaches	0.89	0.9	1.79	0.6701489686965942
dutty	dux	atty	0.9	0.94	1.8399999999999999	0.6302923560142517
duz	dud	guz	0.9	0.91	1.81	0.6460961103439331
dwl	dwt	lwl	0.9	0.91	1.81	0.6844382286071777
dwyane	dwt	slane	0.9	0.9	1.8	0.6787840127944946
dyckman	dyce	rockman	0.93	0.9	1.83	0.6776711940765381
dyt	dyn	tyt	0.9	0.91	1.81	0.6907542943954468
eanut	ear	nut	0.9	1.0	1.9	0.744300127029419
earli	ean	marli	0.9	0.9	1.8	0.6444587707519531
earri	ean	karri	0.9	0.9	1.8	0.6661083698272705
eastcoast	ease	boast	0.93	0.95	1.88	0.6334184408187866
eastside	ease	side	0.93	1.0	1.9300000000000002	0.6934269666671753
eatch	ear	tch	0.9	1.0	1.9	0.7415287494659424
eatiin	ean	liin	0.9	0.94	1.8399999999999999	0.6345372200012207
eatin	ean	tutin	0.9	0.9	1.8	0.6615637540817261
eatons	ean	oons	0.9	0.94	1.8399999999999999	0.6377742290496826
eattin	ean	tutin	0.9	0.9	1.8	0.6615637540817261
eatting	eat	eating	1.0	0.92	1.92	0.9091293811798096
ebf	ebb	lbf	0.9	0.91	1.81	0.6895651817321777
eboard	ebb	bard	0.9	0.94	1.8399999999999999	0.6448121070861816
echophone	echoed	shone	0.87	0.95	1.8199999999999998	0.6971492767333984
econs	ecu	dons	0.9	0.94	1.8399999999999999	0.6376489400863647
ecw	ecu	ccw	0.9	0.91	1.81	0.650847315788269
eddis	edh	vadis	0.9	0.9	1.8	0.63811194896698
edens	eds	keens	0.9	0.9	1.8	0.6353712677955627
edgess	eds	bess	0.9	0.94	1.8399999999999999	0.7294379472732544
edmonton	edmund	anton	0.87	0.95	1.8199999999999998	0.6829724311828613
eem	een	hem	0.9	0.91	1.81	0.69268798828125
eet	eer	fet	0.9	0.91	1.81	0.6522253155708313
eeven	een	leven	0.9	0.9	1.8	0.8624563217163086
effas	efs	alfas	0.9	0.9	1.8	0.6412452459335327
effin	efl	elfin	0.9	0.9	1.8	0.6454010009765625
effing	eff	ing	0.9	1.0	1.9	0.7459615468978882
efron	efs	aeron	0.9	0.9	1.8	0.6497796773910522
eiitha	eir	katha	0.9	0.9	1.8	0.6859954595565796
eitha	eir	katha	0.9	0.9	1.8	0.6859954595565796
eldees	elk	kees	0.9	0.94	1.8399999999999999	0.7315667271614075
ele	eli	ole	0.9	0.91	1.81	0.7040959596633911
eletric	elec	metric	0.93	0.92	1.85	0.7581332921981812
elisse	ell	casse	0.9	0.9	1.8	0.6737724542617798
ellens	els	ens	0.9	1.0	1.9	0.8073214292526245
ellin	eli	lin	0.9	1.0	1.9	0.7022186517715454
ellis	ell	lis	0.9	1.0	1.9	0.660957396030426
ellos	elb	melos	0.9	0.9	1.8	0.6695050597190857
elmont	elk	pont	0.9	0.94	1.8399999999999999	0.6405807733535767
elo	eld	clo	0.9	0.91	1.81	0.658585786819458
elsinore	else	ignore	0.93	0.92	1.85	0.8078182935714722
emails	emp	rails	0.9	0.9	1.8	0.6928361654281616
emang	emm	bang	0.9	0.94	1.8399999999999999	0.6652235984802246
embajador	embale	fiador	0.87	0.92	1.79	0.7090527415275574
embarass	embeds	morass	0.87	0.92	1.79	0.7259188890457153
embarassing	embeds	massing	0.87	0.94	1.81	0.7204866409301758
embarrasing	embody	ceasing	0.87	0.94	1.81	0.6910454034805298
embrasshed	embale	ashed	0.87	0.95	1.8199999999999998	0.6467359066009521
embrollo	embale	hollo	0.87	0.95	1.8199999999999998	0.6536264419555664
embute	emo	cute	0.9	0.94	1.8399999999999999	0.6820889711380005
emigrante	emilia	dante	0.87	0.95	1.8199999999999998	0.6720080375671387
emilio	emu	clio	0.9	0.94	1.8399999999999999	0.6425989866256714
emoney	emu	laney	0.9	0.9	1.8	0.6975148916244507
empezamos	emp	alamos	1.0	0.92	1.92	0.7632463574409485
empezo	emf	piezo	0.9	0.9	1.8	0.7467599511146545
encanta	encase	vedanta	0.87	0.9	1.77	0.7100568413734436
encantan	encia	rantan	0.89	0.92	1.81	0.7461632490158081
encantaria	encase	laria	0.87	0.95	1.8199999999999998	0.7581092715263367
encanto	encase	lepanto	0.87	0.9	1.77	0.6949794292449951
encendia	encase	andia	0.87	0.95	1.8199999999999998	0.6590835452079773
encima	end	ima	0.9	1.0	1.9	0.7057169079780579
encontre	encore	montre	0.87	0.92	1.79	0.7482664585113525
endorphines	endure	shines	0.87	0.96	1.83	0.6590648889541626
enfiam	enl	chiam	0.9	0.9	1.8	0.6682642102241516
engery	end	very	0.9	0.94	1.8399999999999999	0.7940270900726318
engga	end	nigga	0.9	0.9	1.8	0.6866639852523804
enmark	end	dark	0.9	0.94	1.8399999999999999	0.7457287907600403
enought	enough	caught	0.87	0.92	1.79	0.7260100245475769
enratonados	enrage	tornados	0.87	0.92	1.79	0.6333674192428589
ent	end	ant	0.9	0.91	1.81	0.6442858576774597
entaconada	entre	nada	0.89	1.0	1.8900000000000001	0.6659431457519531
entere	ens	dere	0.9	0.94	1.8399999999999999	0.6679568290710449
entero	enl	dero	0.9	0.94	1.8399999999999999	0.6628530025482178
entonce	entire	once	0.87	1.0	1.87	0.8342515230178833
entonces	entire	dances	0.87	0.92	1.79	0.6395038366317749
entrando	entom	grando	0.89	0.92	1.81	0.6946967244148254
entregas	entice	omegas	0.87	0.92	1.79	0.6564074754714966
entrego	entail	forego	0.87	0.92	1.79	0.6658871173858643
entrevista	entom	crista	0.89	0.92	1.81	0.6732282638549805
enuff	enl	suff	0.9	0.94	1.8399999999999999	0.6925902366638184
envidies	envoy	readies	0.89	0.9	1.79	0.7012795209884644
eny	end	any	0.9	0.91	1.81	0.8584709763526917
eposide	epoxy	bedside	0.89	0.9	1.79	0.6745622754096985
erands	erd	rands	0.9	0.9	1.8	0.6571106910705566
erbody	erd	mody	0.9	0.94	1.8399999999999999	0.6498269438743591
ero	ere	aro	0.9	0.91	1.81	0.6513950824737549
errbody	erred	embody	0.89	0.92	1.81	0.6407456398010254
erres	ere	res	0.9	1.0	1.9	0.7272278070449829
errores	errs	ores	0.93	1.0	1.9300000000000002	0.6724355816841125
errybody	erred	embody	0.89	0.92	1.81	0.6407456398010254
esato	ese	pato	0.9	0.94	1.8399999999999999	0.6368053555488586
escoffery	eschew	puffery	0.87	0.9	1.77	0.7882332801818848
escuse	esu	huse	0.9	0.94	1.8399999999999999	0.6745636463165283
eshaa	ess	chaa	0.9	0.94	1.8399999999999999	0.6568412780761719
espera	ese	era	0.9	1.0	1.9	0.7140167355537415
esperaban	espino	caban	0.87	0.95	1.8199999999999998	0.6405879259109497
espero	ese	cero	0.9	0.94	1.8399999999999999	0.6958895921707153
esposa	esd	roosa	0.9	0.9	1.8	0.6542012095451355
essos	ese	sos	0.9	1.0	1.9	0.7415696382522583
estaba	esd	faba	0.9	0.94	1.8399999999999999	0.7253621816635132
estamos	esther	amos	0.87	1.0	1.87	0.6881568431854248
estan	ese	tan	0.9	1.0	1.9	0.7429506182670593
estar	esd	attar	0.9	0.9	1.8	0.6641709804534912
estaria	estive	ficaria	0.87	0.9	1.77	0.6817611455917358
estas	esd	fetas	0.9	0.9	1.8	0.6424435377120972
estass	esu	chass	0.9	0.9	1.8	0.6626129150390625
estela	esd	neela	0.9	0.9	1.8	0.6821937561035156
estos	esd	petos	0.9	0.9	1.8	0.6666396856307983
estrella	ester	cella	0.89	0.95	1.8399999999999999	0.7050591111183167
estudiando	estate	orlando	0.87	0.9	1.77	0.6678555607795715
etarra	eth	durra	0.9	0.9	1.8	0.6634563207626343
ethen	eth	achen	0.9	0.9	1.8	0.7265745401382446
ethopian	ethyl	alpian	0.89	0.92	1.81	0.6376026272773743
ett	eth	gtt	0.9	0.91	1.81	0.654855489730835
etting	eth	kling	0.9	0.9	1.8	0.6631079912185669
evander	evades	hander	0.87	0.92	1.79	0.6448203325271606
everbody	even	body	0.93	1.0	1.9300000000000002	0.7608786225318909
everr	evg	ferr	0.9	0.94	1.8399999999999999	0.690231204032898
eversexy	ever	sexy	0.93	1.0	1.9300000000000002	0.6702669262886047
everyblock	even	lock	0.93	1.0	1.9300000000000002	0.6855291724205017
everybodies	even	bodies	0.93	0.96	1.8900000000000001	0.6589539051055908
everygirl	even	girl	0.93	1.0	1.9300000000000002	0.7903680205345154
everymorn	eve	morn	1.0	1.0	2.0	0.6477512121200562
everynight	evea	bight	0.93	0.95	1.88	0.6679547429084778
everyones	even	ones	0.93	1.0	1.9300000000000002	0.8704795837402344
everyother	evelyn	heather	0.87	0.9	1.77	0.7595563530921936
everythang	even	hang	0.93	1.0	1.9300000000000002	0.7119413614273071
everythin	even	thin	0.93	1.0	1.9300000000000002	0.6966865062713623
everythings	evened	etchings	0.87	0.92	1.79	0.6887575387954712
everytime	even	time	0.93	1.0	1.9300000000000002	0.8145018219947815
everyweek	eve	week	1.0	1.0	2.0	0.6800612807273865
eveyone	even	anyone	0.93	0.92	1.85	0.8767162561416626
evian	eva	ian	0.9	1.0	1.9	0.7479759454727173
evitar	eva	star	0.9	0.94	1.8399999999999999	0.6588543653488159
evn	evg	avn	0.9	0.91	1.81	0.7207163572311401
excatly	exceed	greatly	0.87	0.9	1.77	0.7065285444259644
excercises	exceed	raises	0.87	0.92	1.79	0.7097313404083252
exhilirated	exhume	berated	0.87	0.94	1.81	0.7539905309677124
existance	exits	glance	0.89	0.92	1.81	0.7302190661430359
expecially	expos	bally	0.89	0.95	1.8399999999999999	0.6458418965339661
expierence	exp	licence	1.0	0.9	1.9	0.6306027173995972
explicar	expos	vicar	0.89	0.95	1.8399999999999999	0.6602708697319031
explique	expone	ubique	0.87	0.92	1.79	0.6425793170928955
extraness	extol	maness	0.89	0.92	1.81	0.6465274691581726
extremly	exta	seemly	0.93	0.92	1.85	0.7642076015472412
eyein	eye	vein	0.9	0.94	1.8399999999999999	0.667946457862854
eyeshadow	eye	shadow	1.0	0.92	1.92	0.8217964172363281
eyour	eye	our	0.9	1.0	1.9	0.7744235992431641
faber	fae	taber	0.9	0.9	1.8	0.7634614706039429
facce	fae	recce	0.9	0.9	1.8	0.6775062084197998
faceplates	facie	abates	0.89	0.92	1.81	0.6499842405319214
facina	fae	rhina	0.9	0.9	1.8	0.6596380472183228
facinated	facit	ated	0.89	1.0	1.8900000000000001	0.6673154234886169
fackin	fag	takin	0.9	0.9	1.8	0.6829612851142883
fadedd	fay	redd	0.9	0.94	1.8399999999999999	0.6814978122711182
fagget	fab	get	0.9	1.0	1.9	0.7446337938308716
faggets	fag	gets	1.0	1.0	2.0	0.6965771913528442
faggimon	fagin	daimon	0.89	0.92	1.81	0.6609005928039551
failwhale	faint	inhale	0.89	0.92	1.81	0.7238373756408691
faine	fae	gaine	0.9	0.9	1.8	0.6484273672103882
fairfield	fail	field	0.93	0.95	1.88	0.6501659154891968
fairytale	fairy	tale	0.89	1.0	1.8900000000000001	0.7074840068817139
fajita	fay	chita	0.9	0.9	1.8	0.6369419693946838
fajito	fae	bito	0.9	0.94	1.8399999999999999	0.6307107210159302
fakest	fab	best	0.9	0.94	1.8399999999999999	0.825977087020874
fakey	fab	key	0.9	1.0	1.9	0.6424345374107361
fakin	fag	takin	0.9	0.9	1.8	0.6829612851142883
faktor	fan	actor	0.9	0.9	1.8	0.6976313591003418
falisha	fally	geisha	0.89	0.92	1.81	0.6575495004653931
fallin	fay	lin	0.9	1.0	1.9	0.6437755823135376
falon	fae	kalon	0.9	0.9	1.8	0.6815013885498047
falso	fab	also	0.9	0.94	1.8399999999999999	0.7034379243850708
falta	fas	volta	0.9	0.9	1.8	0.7118761539459229
faltar	fab	star	0.9	0.94	1.8399999999999999	0.7041763067245483
fanatica	fanos	natica	0.89	0.92	1.81	0.720497190952301
fanclub	fan	club	1.0	1.0	2.0	0.8297487497329712
fanfiction	fanga	cation	0.89	0.92	1.81	0.6335412263870239
fanilly	fantom	illy	0.87	1.0	1.87	0.6318938732147217
fannie	fab	annie	0.9	0.9	1.8	0.6983340978622437
fantasic	fancy	basic	0.89	0.95	1.8399999999999999	0.6544880867004395
fap	fan	cap	0.9	0.91	1.81	0.7340976595878601
faqqotts	faqir	shotts	0.89	0.92	1.81	0.6504164934158325
fargo	fax	ergo	0.9	0.94	1.8399999999999999	0.6583717465400696
farmacos	faros	pacos	0.89	0.95	1.8399999999999999	0.6636495590209961
farmar	fae	bemar	0.9	0.9	1.8	0.6679938435554504
farmville	farine	faille	0.87	0.92	1.79	0.6771906614303589
farriswheel	farm	wheel	0.93	1.0	1.9300000000000002	0.6578367352485657
fartin	fan	latin	0.9	0.9	1.8	0.6820969581604004
farve	fag	nerve	0.9	0.9	1.8	0.6400214433670044
fasho	fam	sho	0.9	1.0	1.9	0.7238386869430542
fasion	fag	ion	0.9	1.0	1.9	0.6859576106071472
fastbreak	fast	break	0.93	0.95	1.88	0.8183079957962036
fastlane	faster	plane	0.87	0.95	1.8199999999999998	0.6469720602035522
fatass	fab	ass	0.9	1.0	1.9	0.631423830986023
fatbot	fae	cabot	0.9	0.9	1.8	0.6782315373420715
fatgirl	fat	girl	1.0	1.0	2.0	0.8328179121017456
fatha	fam	tha	0.9	1.0	1.9	0.6846976280212402
faught	fae	bight	0.9	0.9	1.8	0.7778855562210083
fav	fam	hav	0.9	0.91	1.81	0.7175573110580444
favee	fab	lovee	0.9	0.9	1.8	0.654571533203125
faves	fae	eves	0.9	0.94	1.8399999999999999	0.7152135372161865
favorited	favi	plaited	0.93	0.9	1.83	0.6500948667526245
favortie	favi	bertie	0.93	0.92	1.85	0.6315721273422241
fayettevillie	fayed	baillie	0.95	0.94	1.89	0.659963846206665
fcking	fcp	ising	0.9	0.9	1.8	0.6957339644432068
feb	fen	geb	0.9	0.91	1.81	0.6402474641799927
fecha	fer	cha	0.9	1.0	1.9	0.6351343393325806
fedex	feh	dex	0.9	1.0	1.9	0.6687701940536499
feedin	fey	odin	0.9	0.94	1.8399999999999999	0.7161599397659302
feelins	feer	lins	0.93	1.0	1.9300000000000002	0.6530645489692688
feeners	feeing	beaners	0.87	0.9	1.77	0.6967747211456299
feenin	fey	ronin	0.9	0.9	1.8	0.6519825458526611
feins	fed	gains	0.9	0.9	1.8	0.6513051986694336
fel	fer	bel	0.9	0.91	1.81	0.6519080400466919
felicia	fels	indicia	0.93	0.9	1.83	0.6641085743904114
feliz	fei	liz	0.9	1.0	1.9	0.6438838839530945
femcee	feu	lycee	0.9	0.9	1.8	0.6785067915916443
femlaes	feme	claes	0.93	0.95	1.88	0.7341113090515137
fenan	feu	nan	0.9	1.0	1.9	0.6866468191146851
fendi	fei	bandi	0.9	0.9	1.8	0.6487815380096436
fenna	fei	anna	0.9	0.94	1.8399999999999999	0.6658493280410767
fenrock	fennel	crock	0.87	0.95	1.8199999999999998	0.7523747682571411
feo	fei	heo	0.9	0.91	1.81	0.6603808403015137
fergie	fen	gie	0.9	1.0	1.9	0.635362982749939
ferrell	ferd	therell	0.93	0.9	1.83	0.7172440886497498
fes	fec	aes	0.9	0.91	1.81	0.6926820278167725
fests	few	lasts	0.9	0.9	1.8	0.6670636534690857
fetishers	fetch	hers	0.89	1.0	1.8900000000000001	0.7364665865898132
fetishizing	feted	seizing	0.89	0.94	1.83	0.6848767995834351
fev	fen	dev	0.9	0.91	1.81	0.6716094017028809
fiace	fit	ace	0.9	1.0	1.9	0.704433262348175
ficamos	ficus	alamos	0.89	0.92	1.81	0.6834016442298889
fiendin	fief	indin	0.93	0.95	1.88	0.6543594598770142
fierces	field	sources	0.89	0.9	1.79	0.647049069404602
fiesty	fit	nasty	0.9	0.9	1.8	0.6350688338279724
fif	fie	kif	0.9	0.91	1.81	0.6541321277618408
figga	fip	wagga	0.9	0.9	1.8	0.6681166887283325
figue	fip	bogue	0.9	0.9	1.8	0.6872145533561707
figurd	fie	burd	0.9	0.94	1.8399999999999999	0.6642123460769653
fiind	fir	ind	0.9	1.0	1.9	0.6373607516288757
fillin	fid	lin	0.9	1.0	1.9	0.641152024269104
filty	fip	kelty	0.9	0.9	1.8	0.6698071956634521
findin	fir	din	0.9	1.0	1.9	0.7080015540122986
finga	fid	ronga	0.9	0.9	1.8	0.720075249671936
fingerpoppin	fining	coppin	0.87	0.96	1.83	0.7160370349884033
fingir	fip	jagir	0.9	0.9	1.8	0.7269030213356018
finishin	finn	shin	0.93	1.0	1.9300000000000002	0.7178820967674255
finley	fig	alley	0.9	0.9	1.8	0.6772485971450806
finna	fig	manna	0.9	0.9	1.8	0.7516784071922302
finnished	find	shed	0.93	1.0	1.9300000000000002	0.7453858256340027
fiona	fip	olona	0.9	0.9	1.8	0.634446382522583
fiqure	fin	dure	0.9	0.94	1.8399999999999999	0.6974090337753296
firee	fid	bree	0.9	0.94	1.8399999999999999	0.6883178353309631
firstround	fire	bound	0.93	0.95	1.88	0.7310128211975098
fiscalia	fiscus	idalia	0.87	0.92	1.79	0.6447521448135376
fishsticks	fish	dicks	0.93	0.95	1.88	0.7185026407241821
fivehead	five	head	0.93	1.0	1.9300000000000002	0.723345935344696
fixin	fie	taxin	0.9	0.9	1.8	0.6614159345626831
fiyah	fir	yah	0.9	1.0	1.9	0.6882280707359314
flaggin	flaked	laggin	0.87	0.92	1.79	0.6611593961715698
flaka	flo	aka	0.9	1.0	1.9	0.8142119646072388
flakin	fly	skin	0.9	0.94	1.8399999999999999	0.6651405096054077
flaor	fld	aor	0.9	1.0	1.9	0.7011511325836182
flashplayer	flakes	layer	0.87	1.0	1.87	0.6822882890701294
flashu	flb	pishu	0.9	0.9	1.8	0.6632336378097534
flatbreads	flag	beads	0.93	0.95	1.88	0.6321749687194824
flatbush	flag	bush	0.93	1.0	1.9300000000000002	0.6608748435974121
flatlined	flail	chained	0.89	0.9	1.79	0.6309827566146851
flatts	flb	motts	0.9	0.9	1.8	0.6444275379180908
flave	fly	cave	0.9	0.94	1.8399999999999999	0.6713871955871582
flecha	flo	cha	0.9	1.0	1.9	0.6374357342720032
fleem	fly	seem	0.9	0.94	1.8399999999999999	0.6769322752952576
fleshlight	flecks	bight	0.87	0.95	1.8199999999999998	0.6452889442443848
flipphone	flicky	ohone	0.87	0.95	1.8199999999999998	0.8530453443527222
flippin	fliers	coppin	0.87	0.92	1.79	0.6480591297149658
floatin	floaty	gelatin	0.87	0.9	1.77	0.6596783399581909
flocca	flb	acca	0.9	0.94	1.8399999999999999	0.654999315738678
flomo	flo	momo	0.9	0.94	1.8399999999999999	0.8611745834350586
floodin	flory	odin	0.89	1.0	1.8900000000000001	0.6641737222671509
floppin	flory	pippin	0.89	0.92	1.81	0.7071588039398193
flowin	fly	win	0.9	1.0	1.9	0.7162448167800903
fluant	flo	ant	0.9	1.0	1.9	0.6536376476287842
fluckin	flutes	pickin	0.87	0.92	1.79	0.6591673493385315
flunk	flo	funk	0.9	0.94	1.8399999999999999	0.7002482414245605
flurrie	fluked	arrie	0.87	0.95	1.8199999999999998	0.6683676838874817
flyest	fly	best	0.9	0.94	1.8399999999999999	0.7291072010993958
flynn	flo	lynn	0.9	0.94	1.8399999999999999	0.7463680505752563
foamposites	foamed	campsites	0.87	0.9	1.77	0.70145583152771
focased	focus	based	0.89	0.95	1.8399999999999999	0.8557538986206055
foeva	foo	eva	0.9	1.0	1.9	0.7433972954750061
foget	foh	get	0.9	1.0	1.9	0.6633533835411072
fogured	fogger	scoured	0.87	0.9	1.77	0.6965322494506836
foi	foe	goi	0.9	0.91	1.81	0.634990930557251
foine	foe	aine	0.9	0.94	1.8399999999999999	0.804383397102356
folback	folks	back	0.89	1.0	1.8900000000000001	0.7428671717643738
folla	fol	yalla	0.9	0.9	1.8	0.6417239904403687
follback	folks	back	0.89	1.0	1.8900000000000001	0.7428671717643738
folletos	folios	petos	0.87	0.95	1.8199999999999998	0.6997895240783691
follor	foe	lor	0.9	1.0	1.9	0.802560567855835
follwers	fold	drawers	0.93	0.9	1.83	0.7212070226669312
folower	folate	ower	0.87	1.0	1.87	0.654977023601532
fom	fop	eom	0.9	0.91	1.81	0.6992404460906982
fones	fop	banes	0.9	0.9	1.8	0.6632000207901001
